Env,Year,Field_Location,Experiment,Replicate,Block,Plot,Range,Pass,Hybrid,Hybrid_orig_name,Hybrid_Parent1,Hybrid_Parent2,Plot_Area_ha,Date_Planted,Date_Harvested,Stand_Count_plants,Pollen_DAP_days,Silk_DAP_days,Plant_Height_cm,Ear_Height_cm,Root_Lodging_plants,Stalk_Lodging_plants,Yield_Mg_ha,Grain_Moisture,Twt_kg_m3
IAH3_2019,2019,IAH3,G2F_LH195,2,4,524,28.0,20.0,PHW65_MOG_0335/LH195,PHW65_MOG_0335/LH195,PHW65_MOG_0335,LH195,0.0006735476354453,5/6/19,10/27/19,62.0,,,227.0,120.0,0.0,0.0,14.4970553564791,27.5,664.18758070272
DEH1_2021,2021,DEH1,G2F_2020_21_PHZ51,2,2,269,13.0,20.0,W10004_0167/PHZ51,W10004_0167/PHZ51,W10004_0167,PHZ51,0.0006967734159779,2021-04-27,2021-09-16,62.0,71.0,71.0,258.0,132.0,0.0,1.0,11.2234868998308,14.0,790.33173362688
NYH1_2018,2018,NYH1,G2F_2018_19_PHT69,2,2,73,13.0,23.0,PHN11_PHW65_0154/PHT69,PHN11_PHW65_0154/PHT69,PHN11_PHW65_0154,PHT69,0.0008361280991735,5/25/2018,11/12/2018,66.0,61.0,61.0,195.0,99.0,3.0,1.0,5.47836215321981,15.6,
KSH1_2018,2018,KSH1,G2F_2018_19_LH195,1,1,138,8.0,64.0,PHW65_MOG_0442/LH195,PHW65_MoG_0442/LH195,PHW65_MOG_0442,LH195,0.0008129023186409,5/7/2018,10/6/2018,15.0,,,,,15.0,50.0,11.5762411997975,16.6,794.19328932864
ILH1_2021,2021,ILH1,G2F_2020_21_PHK76,2,11,359,19.0,59.0,W10004_0689/PHK76,W10004_0689/PHK76,W10004_0689,PHK76,0.0008113229655647,2021-04-27,2021-09-30,60.0,68.0,70.0,251.0,110.0,0.0,11.0,11.9917631687975,12.1,783.89580745728
MOH1_2016,2016,MOH1,G2F_2016_17,1,1,179,,,Z033E0001/PHZ51,Z033E0001/PHZ51,Z033E0001,PHZ51,0.0007896765381083,5/23/16,10/7/16,60.0,57.0,59.0,285.0,140.0,,,6.79558858788432,17.0,
WIH3_2020,2020,WIH3,YELLOW_STRIPE,2,1,537,15.0,37.0,B37/H95,B37/H95,B37,H95,0.0009290312213039,5/21/20,11/8/20,,70.0,73.0,262.0,130.0,0.0,6.0,5.10037493195346,28.0,629.43357938688
IAH1_2018,2018,IAH1,G2F_2018_19_LH195,2,2,319,57.0,33.0,PHW65_MOG_0036/LH195,PHW65_MOG_0036/LH195,PHW65_MOG_0036,LH195,0.0008129023186409,5/8/2018,10/18/2018,66.0,,,204.0,110.0,,5.0,10.6165235402795,18.8,715.67499005952
WIH2_2018,2018,WIH2,G2F_2018_19_PHT69,1,2,109,,,PHW65_MOG_0055/PHT69,PHW65_MOG_0055/PHT69,PHW65_MOG_0055,PHT69,0.0010219343434343,5/19/2018,10/19/2018,72.0,71.0,71.0,255.0,127.0,,,9.94114342148205,29.8,742.70587997184
TXH1-Early_2018,2018,TXH1-Early,G2F_2018_19_LH195,3,3,147,,,PHN11_PHW65_0062/LH195,PHN11_PHW65_0062/LH195,PHN11_PHW65_0062,LH195,0.0009754827823691,3/8/2018,8/4/2018,81.0,69.0,71.0,203.0,71.0,,,7.96396184693549,10.3,753.0033618432
IAH1_2021,2021,IAH1,G2F_2020_21_PHK76,1,22,765,24.0,104.0,W10004_0086/PHK76,W10004_0086/PHK76,W10004_0086,PHK76,0.0008129023186409,2021-05-01,2021-10-19,60.0,,,,,0.0,1.0,9.63734790336125,14.9,746.5674356736
MOH1_2_2020,2020,MOH1,G2F_2020_21_PHP02,2,13,1373,21.0,23.0,W10004_0711/PHP02,W10004_0711/PHP02,W10004_0711,PHP02,0.0007896765381083,6/2/2020,10/22/20,50.0,49.0,51.0,208.0,81.0,0.0,0.0,10.4998202446369,17.4,
IAH2_2016,2016,IAH2,G2F_2016_17,1,1,203,13.0,18.0,BGEM-0039-N/LH195,BGEM-0039-N/LH195,BGEM-0039-N,LH195,0.0008129023186409,4/25/16,10/11/16,58.0,84.0,86.0,217.0,117.0,,0.0,6.36954041174307,18.1,702.80313772032
