Year,Env,LabID,Date Received,Date Reported,E Depth,1:1 Soil pH,WDRF Buffer pH,1:1 S Salts mmho/cm,Texture No,Organic Matter LOI %,Nitrate-N ppm N,lbs N/A,Potassium ppm K,Sulfate-S ppm S,Calcium ppm Ca,Magnesium ppm Mg,Sodium ppm Na,CEC/Sum of Cations me/100g,%H Sat,%K Sat,%Ca Sat,%Mg Sat,%Na Sat,Mehlich P-III ppm P,% Sand,% Silt,% Clay,Texture,BpH,Zinc ppm Zn,Iron ppm Fe,Manganese ppm Mn,Copper ppm Cu,Boron ppm B,Comments
2021,TXH3_2021,Ward Laboratories Inc,03/02/2022,03/04/2022,12.0,8.0,7.2,0.76,2.0,2.6,20.9,75.0,411.0,16.5,7251.0,499.0,143.0,42.1,0.0,3.0,86.0,10.0,1.0,14.0,8.0,26.0,66.0,Clay,,,,,,,
2020,GAH2_2020,Ward Laboratories Inc,8/11/20,8/13/20,12.0,6.3,6.7,0.35,2.0,2.7,48.8,176.0,109.0,25.3,613.0,116.0,9.0,7.5,42.0,4.0,40.0,13.0,1.0,16.0,53.0,20.0,27.0,Sandy Clay Loam,,,,,,,
2019,OHH1_2019,Ward Laboratories Inc,8/22/19,8/26/19,6.0,6.6,7.2,0.41,2.0,5.0,30.9,56.0,163.0,16.6,3007.0,687.0,7.0,21.2,0.0,2.0,71.0,27.0,0.0,43.0,26.0,32.0,42.0,Clay,,,,,,,
2019,IAH4_2019,Ward Laboratories Inc,8/22/19,8/26/19,8.0,6.3,6.7,0.21,2.0,4.5,21.2,51.0,177.0,13.3,2988.0,289.0,9.0,20.8,14.0,2.0,72.0,12.0,0.0,42.0,46.0,24.0,30.0,Sandy Clay Loam,,,,,,,
2018,NYH2_2018,Ward Laboratories Inc,6/12/2018,6/14/2018,12.0,7.1,7.2,0.2,2.0,3.2,22.7,82.0,59.0,4.7,1363.0,274.0,15.0,9.3,0.0,2.0,73.0,24.0,1.0,21.0,50.0,26.0,24.0,Sandy Clay Loam,,,,,,,
2018,MIH1_2018,Ward Laboratories Inc,6/1/2018,6/5/2018,12.0,6.1,6.7,0.12,2.0,2.9,18.4,66.0,147.0,9.3,1682.0,308.0,17.0,14.2,20.0,3.0,58.0,18.0,1.0,21.0,52.0,26.0,22.0,Sandy Clay Loam,,,,,,,
2021,WIH2_2021,Ward Laboratories Inc,06/04/2021,06/08/2021,8.0,6.8,7.2,0.27,2.0,4.5,30.5,73.0,152.0,10.0,2078.0,583.0,22.0,15.7,0.0,2.0,66.0,31.0,1.0,64.0,16.0,53.0,31.0,Silty Clay Loam,,,,,,,
2019,NYH2_2019,Ward Laboratories Inc,6/20/19,6/24/19,12.0,7.8,7.2,0.34,2.0,3.6,31.8,115.0,75.0,7.7,2306.0,271.0,10.0,14.0,0.0,1.0,82.0,16.0,0.0,10.0,48.0,24.0,28.0,Sandy Clay Loam,,,,,,,
2019,TXH1_2019,Ward Laboratories Inc,9/24/19,9/26/19,12.0,8.3,7.2,0.12,2.0,0.6,20.6,74.0,91.0,20.2,4268.0,161.0,23.0,23.0,0.0,1.0,93.0,6.0,0.0,5.0,40.0,38.0,22.0,Loam,,,,,,,
2020,TXH1_2020,Ward Laboratories Inc,10/9/20,10/13/20,12.0,8.1,7.2,0.21,2.0,1.6,2.9,11.0,285.0,7.7,4462.0,254.0,17.0,25.2,0.0,3.0,88.0,8.0,0.0,39.0,24.0,51.0,25.0,Silt Loam,,,,,,,
2015,NYH2_2015,UW Soil & Plant Analysis Lab,,6/5/15,,7.6,,,,2.5,,,39.0,,,,,,,,,,,13.0,,,,,,,,,,,
2021,NCH1_2021,Ward Laboratories Inc,12/06/2021,12/08/2021,12.0,6.15,6.75,0.165,2.0,1.2,9.05,33.0,87.5,9.65,479.0,59.5,5.5,5.4,41.5,4.5,44.5,9.5,0.0,62.5,73.0,20.0,7.0,Sandy Loam,,,,,,,
2018,ONH1_2017,Ward Laboratories Inc,01/03/2018,01/08/2018,12.0,7.7,7.2,0.18,2.0,2.7,12.8,46.0,98.0,10.0,2201.0,237.0,9.0,13.3,0.0,2.0,83.0,15.0,0.0,95.0,34.0,43.0,23.0,Loam,,,,,,,
2017,NCH1_2017,Ward Laboratories Inc,11/15/2017,11/20/2017,12.0,5.4,6.0,0.16,2.0,3.4,17.2,62.0,189.0,14.9,641.0,127.0,16.0,15.1,68.0,3.0,21.0,7.0,0.0,66.0,63.0,15.0,22.0,Sandy Clay Loam,,,,,,,
2016,WIH1_2016,Ward Laboratories Inc,5/18/2016,5/20/2016,12.0,7.0,7.2,0.23,2.0,3.1,9.1,33.0,130.0,15.0,1947.0,620.0,10.0,15.3,0.0,2.0,64.0,34.0,0.0,49.0,19.0,54.0,27.0,Silt Loam,,,,,,,
2019,GAH2_2019,Ward Laboratories Inc,8/15/19,8/19/19,12.0,5.7,6.8,0.23,2.0,1.2,22.4,81.0,71.0,4.2,420.0,53.0,6.0,4.8,43.0,4.0,43.0,9.0,1.0,38.0,68.0,16.0,16.0,Sandy Loam,,,,,,,
2019,TXH2_2019,Ward Laboratories Inc,9/24/19,9/26/19,12.0,8.4,7.2,0.13,2.0,1.1,15.8,57.0,172.0,6.2,5476.0,230.0,23.0,29.8,0.0,1.0,92.0,6.0,0.0,11.0,38.0,34.0,28.0,Clay Loam,,,,,,,
