Env,Date,QV2M,T2MDEW,PS,RH2M,WS2M,GWETTOP,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,T2M_MAX,T2M_MIN,T2MWET,GWETROOT,T2M,GWETPROF,ALLSKY_SFC_SW_DNI,PRECTOTCORR
IAH2_2018,20181216,3.36,-2.04,97.65,92.31,2.53,0.64,8.45,41.33,4.3,-3.14,-1.42,0.59,-0.81,0.59,20.08,0.0
SCH1_2018,20180621,16.91,21.98,98.34,78.0,0.59,0.66,20.7,113.04,32.41,21.98,24.36,0.66,26.75,0.65,9.57,1.56
NYH2_2020,20200524,10.62,14.56,97.75,80.81,0.3,0.69,24.77,132.25,23.7,13.9,16.37,0.68,18.17,0.65,22.29,0.07
ILH1_2021,20211114,3.3,-2.13,98.83,78.0,5.59,0.72,3.14,16.7,4.36,-2.66,-0.32,0.69,1.5,0.68,1.92,1.87
NEH1_2014,20141026,9.16,11.72,95.61,77.25,3.23,0.59,14.26,73.85,25.92,9.19,13.84,0.57,15.96,0.58,27.59,0.0
INH1_2020,20200512,4.52,2.31,99.68,61.12,1.94,0.79,25.69,130.47,16.0,1.19,6.2,0.77,10.08,0.77,25.63,0.0
OHH1_2017,20171202,3.48,-1.43,98.4,73.44,1.41,0.73,8.95,43.8,9.87,-1.5,0.85,0.72,3.13,0.7,17.04,0.0
INH1_2019,20190426,6.1,6.36,98.26,72.06,5.64,0.87,27.89,138.01,17.07,6.75,9.09,0.88,11.82,0.87,37.11,2.87
MNH1_2014,20140501,4.82,2.87,97.0,86.88,4.13,0.69,10.48,58.22,9.4,1.83,3.92,0.65,4.97,0.63,4.95,1.08
IAH4_2018,20180911,10.8,14.76,98.03,77.88,3.3,0.55,22.09,114.05,25.51,12.59,16.89,0.52,19.02,0.54,33.01,0.01
SCH1_2019,20190131,2.81,-4.15,99.96,70.25,0.66,0.93,15.79,76.98,7.76,-3.92,-1.49,0.98,1.18,0.95,31.73,0.01
DEH1_2020,20200605,14.89,20.45,101.16,78.5,4.1,0.6,23.79,128.66,29.92,21.26,22.63,0.63,24.82,0.62,17.76,1.17
TXH1-Late_2017,20170821,16.48,21.9,100.63,64.25,1.8,0.47,24.55,133.77,36.89,24.72,26.12,0.5,30.33,0.5,27.49,0.13
NYH3_2015,20150916,8.79,11.75,98.28,52.56,0.34,0.46,20.98,107.77,29.94,16.09,17.18,0.5,22.6,0.48,31.64,0.0
GAH2_2021,20211229,13.43,18.47,99.29,96.0,0.03,0.67,3.9,21.61,22.69,16.34,18.8,0.62,19.12,0.62,2.77,9.19
